text,gpt_responses,scope3,vague,file_name
"Summary of the written evaluations Each director returns the completed questionnaires confidentially to the company’s outside counsel, which aggregates the individual responses and provides a written summary of the evaluation results to the Independent Chairperson and the Chief Executive Officer .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"We used the hybrid method to calculate our Scope 3 emissions.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific,NASDAQ_BKNG_2022_results.csv
"Our ability to successfully deliver on our purpose to the benefit of patients is dependent on our people.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"Empowering workers across our value chain from upstream supply chain workers and our 700,000 system employees to down stream informal waste collection workers supporting recycling around the world.IMPACT AgricultureIMPACT WorkDeveloping transformative due diligence and remediation programs through emerging technologies and creative partnerships with stakeholders and experts.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_KO_2022_results.csv
"Pucusana, Peru, focused on providing running water systems for the soup kitchens in the district, guaranteeing adequate hygienic conditions for meal preparation.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_KO_2022_results.csv
"Creating DEI learning and development programming internally through the NikeUNITED Networks and externally through our DEI partners.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_NKE_2022_results.csv
"Pfizer’s first ever Global Patient Advocacy Forum was held in 2022 bringing together patient advocacy leaders from around the world working across a wide variety of patient populations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"It’s not about the next crop season, but about ve or ten years ahead.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_2022_results.csv
"Since an apprenticeship is considered the rst employment contract a worker will have, Frank said John Deere works very hard at introducing opportunities to the community and then transitioning apprentices into the company.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DE_2022_results.csv
"These updates showcase our ability to leverage enterprise technologies to deliver solutions to our customers that will help them work smarter, safer, and more sustainably.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"As of the end of 2022, Pfizer met the demand for the vaccine from these markets, delivering nearly 1.7 billion doses to 112 countries, including South Africa, Kenya, Rwanda, Jordan, Ukraine, Dominican Republic, Honduras, Indonesia, Vietnam, and Malaysia among many others.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"Students attended the 2022 Tour de Turtles event at Disney’s Vero Beach Resort, an annual event that helps researchers, conservationists, and government agencies gather satellite transmitter data from migrating sea turtles to make more informed decisions about conservation methods and policies.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"Employees can complete both required training (e.g., Standards of Business Conduct) and optional learning opportunities.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"We also apply a human rights risk screening tool to support our analysis of these potential risks at country, project and operation levels, incorporating elements aligned with key global human rights principles.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_XOM_2022_results.csv
"Booking.com has formed a partnership with CHOOOSE, a climate tech company, to display carbon emissions data for European accommodation bookings and flight searches.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NASDAQ_BKNG_2022_results.csv
"The waste audit demonstrated that there were opportunities to reduce waste stream contamination rates by approximately 40%.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
"This represents a reduction in CO2 emissions of 3 Mt per year.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_TTE_2022_results.csv
"Company and bottler teams in peers to build collection infrastructures world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_KO_2022_results.csv
"This updated feature allows customers to easily measure and compare their machines’ emissions over time, with the ability to share that data with stakeholders that are requesting emissions information.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DE_2022_results.csv
"In 2022, we successfully laid the foundation for the development of a global third party risk management framework.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NASDAQ_BKNG_2022_results.csv
"At Booking Holdings, we continuously review our compliance controls across business functions, particularly regarding human rights and the data privacy of our customers, to consider how we can improve our processes and to ensure that we are evaluating and addressing concerns as they arise.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NASDAQ_BKNG_2022_results.csv
"If a spill does occur, we conduct a rapid, comprehensive response to minimize impact on communities and the environment.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_XOM_2022_results.csv
"Several members of this committee report directly to the CEO of Booking Holdings.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NASDAQ_BKNG_2022_results.csv
"Apprenticeships John Deere’s German apprenticeship program is about 100 years old and began due to an identi ed shortage of skilled labor and worker quali cations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"D veloppement durable et climat 2022Sustainability Climate 2022 Progress Report 1.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"We are reviewing and refreshing our internal pay infrastructure to strengthen market relevancy and competitive positioning in an ever changing external macro environment.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"These additional paid days off provided a shared time off experience, allowing teams to disconnect from work, email, and calls, all on the same days.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"Net zero would be achieved thanks to 7.6 Gt of CO2 storage per year by 2050.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_TTE_2022_results.csv
"Due to our renewable electricity procurement, Scope 2 market based emissions have dropped significantly.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
"We are actively reducing emissions from Uber offices and data center operations as we make progress on this 2030 goal .
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_UBER_2022_results.csv
"Everywhere we operate, our fundamental goal is to reduce environmental incidents to zero through continuous improvement of our operation standards and practices.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_XOM_2022_results.csv
"Data is as of December 31, 2021, unless otherwise noted.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_UBER_2022_results.csv
"When stores order quantities that differ from the factory supplier case sizes, for example, distribution centers unpack inbound corrugated cardboard cartons and repack them in new cartons that process creates more waste.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_NKE_2022_results.csv
"We believe that including diverse suppliers in our sourcing process provides a meaningful opportunity to seek innovative, high quality, and cost effective business solutions, while also supporting communities.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv
"During FY22, we also laid the foundation and recruitment efforts for our global internship program.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"We have reduced calories by 6%, sodium by 9%, saturated fat by 15% and added sugar by 26% in Happy Meal Bundle Offerings.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_MCD_2022_results.csv
"We apply these principles to all our activities and all our projects.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_TTE_2022_results.csv
"In prior years, this source was reported as a known exclusion in NIKE’s office data.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"I am proud of the work I do with NIKE and the role the company has played to recruit and keep girls in sport, and I know the momentum will only grow.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"Wheelchair dancers gave a spirited performance in Shanghai Disney Resort’s first wheelchair flash mob dance in December 2021.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"Environmental and energy use data used in GHG emissions calculations are subject to inherent limitations, given the nature and the methods used for measuring such data.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"In fiscal 2022, we enhanced VoluntEARS Online, our in house tool that promotes volunteer opportunities tied to our signature programs and campaigns.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"We also participate in advancing food safety practices in the countries and communities where we operate, as part of our commitment to local engagement.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"Rosetta Stone to provide eligible drivers and couriers around the world the opportunity to learn a new language for free .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"Additionally, 31 employees received their first bachelor’s degrees at the University of Memphis with support from Lane Four, NIKE’s tuition paid benefit program in partnership with the University of Memphis for North America Distribution Center and Air Manufacturing Innovation (Air MI) teammates.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"McDonald’s commits operated by the Company and its Franchisees that use palm oil.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_MCD_2022_results.csv
"In fiscal 2022, experts from Disney Institute again held training sessions for KK Women and Children’s Hospital (KKH) in Singapore.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"Conservancy refers to these geographies as foodscapes, which are the geographical components of the global food system, combining both production systems as well as location.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_2022_results.csv
"Revolution technologies at scale to drive step change financial, operational and sustainability improvements by transforming factories, value chains and business models.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_KO_2022_results.csv
"All of our global priority ingredient suppliers and their farm supply base will work toward achieving.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_KO_2022_results.csv
"As of 2018, transportation generated approximately 17% of global GHG emissions.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"That means more demand for energy to power homes, transportation and consumer goods.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_XOM_2022_results.csv
"In FY22, we achieved 100% diversion of waste to landfill in apparel and continued 100% diversion in footwear for the second year.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
"There’s a coach in all of us and throughout the year, we gave our employees around the world the opportunity to tap into the power of coaching and share their passion for sport with the next generation.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"Based on customer and operator needs, we aim to deliver 20 electric and hybrid electric product models by 2026.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific,NYSE_DE_2022_results.csv
"Our efforts will result in an approximate 90% reduction meet the requirements as outlined in McDonald’s Commitment on Forests.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_MCD_2022_results.csv
"Packaging Formulaic errors in baseline source data transformations were discovered and resolved across footwear, apparel, and accessories packaging, increasing overall FY20 packaging waste by 1% compared to historically reported values.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"How a company discloses robust and credible sustainability data based on globally accepted metrics in the face of increasing calls for sustainability data and assurance.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_KO_2022_results.csv
"Together with the 2022 ESPYS fundraising and other events, ESPN raised more than 27 million, bringing the total that ESPN has helped raise to nearly 170 million for the V Foundation since its inception in 1993.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"People of Color includes employees who are Asian American, Black or African American, Hispanic or Latino, Native American or Alaskan Native, Native Hawaiian or Other Pacific Islander, or Two or More Races.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"The Company has its own research center with pilot rivers and tests different methods for demonstrating the ecotoxicity of effluent.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_TTE_2022_results.csv
"The Walt Disney Company Fiscal Year 2022 10 K, p. 44.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"Consistent with industry, we are reporting the data below over a five year period.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_XOM_2022_results.csv
"At the Zeeland refinery, the Company plans to capture carbon from the steam methane reforming unit (SMR1) that produces hydrogen from natural gas.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_TTE_2022_results.csv
"This applies to demand for energy overall, and to demand for oil, gas and coal.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_TTE_2022_results.csv
"This is a feature that allows U.S. ag customers to easily understand, compare, and sign up for third party programs.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DE_2022_results.csv
"These conferences, and many others, enable Disney to engage with prospective talent and share innovations and content from across the Company.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"Non WHQ Offices: Refrigerant use intensity (2.0 x 10 7 metric tons refrigerant lost per square foot per year) from The World Bank Group Greenhouse Gas Emissions Inventory Management Plan for Internal Business Operations, 2019, was applied to total office square footage to calculate total office refrigerant emissions.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
"Experience in government, regulatory or public policy.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_XOM_2022_results.csv
"Pfizer’s NME and Biologics License Application (BLA) approvals reflect a greater proportion of Breakthrough Therapy and Expedited Regulatory Designations relative to the industry.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"Management Assertion As of December 31, 2022, Pfizer has fully allocated approximately 1.24 billion in net proceeds from the issuance of its March 2020 Sustainability Bond to eligible projects identified on page 59 of this report in accordance with the Use of Proceeds defined on pages S 6 and S 7 of the Prospectus Supplement dated March 25, 2020.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_PFE_2022_results.csv
"For the first time since the pandemic, we returned to the NIKE World Headquarters (WHQ) campus for an in person, comprehensive summer internship experience to help drive recruitment, interest and hires.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"The Company follows the oil gas industry reporting guidelines published by IPIECA, which com ply with the GHG Protocol methodologies.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"Pharmaceuticals in the environment and antimicrobial resistance (AMR) continue to be critically important environmental issues for our industry.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"We implement systems to record complaints and main tain a steady dialogue with our stakeholders, with support from experts to evaluate our local actions.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_TTE_2022_results.csv
"Since the launch, six cohorts and 228 participants have gone through the program.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NASDAQ_BKNG_2022_results.csv
"However, growth of plastic packaging has outpaced efforts on lightweighting and use of recycled content, so that we have not reduced our use of virgin plastic overall.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_KO_2022_results.csv
"We increased our mentoring programs from 13 to 35 across.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"The U.S. McDonald’s and IYF also collaborate on the Youth Opportunity Ambassador Program, sharing participant perspectives on barriers to success and enabling feedback on the program’s ability to support them.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_MCD_2022_results.csv
"When used in this report, including the supplemental information, the words may, could, anticipate, target, plan, continue, goal, commit, achieve, project, intend, estimate, believe, expect, and similar expressions are intended to identify forward looking statements, although not all forward looking statements contain such words.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"Our goal is to prevent legacy impacts on the environment while creating opportunities for beneficial reuse.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_XOM_2022_results.csv
"CAS is in use across 100% of our Canadian supply chain facilities and is already practiced by many approved suppliers for McDonald’s restaurants in Europe and Australia.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_MCD_2022_results.csv
"Through RizePoint, we can measure and track supplier compliance against food safety and quality management requirements.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_MCD_2022_results.csv
"I’ll take him out, so we can walk and just kind of breathe out the day.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"With operations in 130 countries, and activities throughout the energy value chain, TotalEnergies aims to generate shared prosperity with its various stakeholders.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_TTE_2022_results.csv
"From a hiring perspective, we have increased our DEI partnerships and financial commitments to include 50 organizations as part of our efforts to diversify our candidates.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
"The Pfizer Foundation is a separate legal entity from Pfizer Inc. with distinct legal restrictions.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"John Deere Beit Hashia Works Ltd. (JDBH), in Israel reduced nearly 40,000 pounds of wood waste by updating suppliers and implementing returnable packing metal racks.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"Our business strategy emphasizes achieving superior operating and nancial performance through aggressive goals for operating margin, asset management, and value creation from disciplined capital allocation.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"In January 2022, the Company rounded out its biodiversity commitments by setting a target of zero net deforestation for each of its new projects at new sites.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_TTE_2022_results.csv
"Awarded a total of 30,000 USD to graduating seniors.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"Students created characters and stories, and local Disney producers served as mentors to guide the students.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"IFC also offered direct bespoke support to interested suppliers.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"The material level carbon impact emission factors are multiplied by the volume of those respective materials used in product based on produced units in any given year.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific,NYSE_NKE_2022_results.csv
"At its February 2023 meeting, the Board of Directors increased our quarterly dividend 4.5% to 0.46 per share, equivalent to an annual dividend of 1.84, up from 1.76 in 2022.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_KO_2022_results.csv
"We worked with denkstatt to develop a methodology to help us quantify and test the co benefits of NBS projects.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_KO_2022_results.csv
"Although the launch of the DPPA pilot continues to be delayed, NIKE has actively engaged with the Vietnamese government to show multinational business support for the finalization of the program and continues to push for that engagement through the ACEC and other platforms.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"Through our commitment to responsible antibiotic use, we are collaboratively doing our part to help preserve the effectiveness of antibiotics for future generations.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_MCD_2022_results.csv
"We continue to support our employees through challenges related to the COVID 19 pandemic.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_NKE_2022_results.csv
"We are working to reduce our carbon footprint in line with science to help avoid the worst impacts of climate change.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_KO_2022_results.csv
"Marvel Studios’ Eternals presented an important opportunity to include the Deaf and Hard of Hearing community in Disney’s ongoing work to make content more accessible.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"For our neoprene target, we identified several alternatives that are aligned with our sustainable chemistry requirements.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"Eliminate Deforestation refers to McDonald’s global pledge to tackle deforestation, and all of the social and environmental criteria in our Commitment on Forests in our agricultural and forestry supply chains.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_MCD_2022_results.csv
"Front of Package Labeling Provide transparent nutrition information, featuring calories on the front of all of our packages.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_KO_2022_results.csv
"VZF and NIKE developed of a Theory of Change (TOC) framework on road safety, using ILO collected feedback from workers, employers, governments and ILO specialists from a number of countries.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
"We have a number of local partnerships in place to help reduce the cost and encourage the adoption of e mopeds and bikes .
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_UBER_2022_results.csv
"Our commitment to environmental sustainability goes back to our founding nearly 100 years ago.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv
"Across markets like France, the U.K. and Italy, we developed Happy Meal adverts focused on recommended offerings, such as fruit and vegetables.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"To learn more about our governance structure, see the Governance section.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_KO_2022_results.csv
"Climate change: Uber’s Board of Directors and Nominating and Governance Committee periodically receive updates on policy and regulatory trends at the local, state, and national levels concerning climate and emissions related developments, and they receive reports on Uber’s climate change commitments .
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_UBER_2022_results.csv
"In FY21, we also expanded the scope of this target.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"Booking.com started the year with five Employee Resource Groups (ERGs): B.able, B.bold, B.equal, B.harmony and B.proud.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NASDAQ_BKNG_2022_results.csv
"This works out to one HPC every 150 km, for optimal coverage on long dis tance trips.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_TTE_2022_results.csv
"Our criteria for FDA expedited designations includes breakthrough therapy, fast track, priority review and accelerated approval.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"The fabrics were also uniquely dyed using a waterless printing method, saving water compared to traditional dyeing processes.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv
"It augments FPS announced policies to ensure achievement of Paris Alignment warming goals, quantifying strong impacts from transitional risks (e .g ., carbon prices) and innovation .
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_UBER_2022_results.csv
"As discussed in the Respecting Human Rights section of this report, we respect human rights and expect the same of our suppliers.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_XOM_2022_results.csv
"Paper straws and wooden cutlery have been deployed in 50 markets.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_MCD_2022_results.csv
"Shared wellness tips twice monthly through the global.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"Help provide communities with access to safe water, sanitation and hygiene (WASH).
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_KO_2022_results.csv
"This year, the return of in person events reinforced a sense of belonging, allowing for positive momentum.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"The organization, which I co founded, focuses on leveraging education, cultural and language exchange, and investing in young leaders.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"This training provides recurring data protection updates and subject matter expertise on personal data protection.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NASDAQ_BKNG_2022_results.csv
"Our financial disclosures can be found in our 2022 Annual Review and our 2022 Annual Report on Form 10 K. We plan to report our ESG performance on an annual basis as a supplement to our Annual Review.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"We devel oped this new ambition together in the midst of the Covid 19 pandemic and we are deploying it together within the frame work of a just transition.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_TTE_2022_results.csv
"The partnership in Tangier aims we are taking stock of our current status across and local level.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_KO_2022_results.csv
"When you’re working on a creative project it’s hard to know when to stop.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"In India, the Company has chosen to partner with Adani, one of the country’s leading industrial groups with an extensive presence in energy and infrastructure.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_TTE_2022_results.csv
"We do this by analyzing and prioritizing the sources of GHG emissions across our value chain and by partnering with stakeholders to drive down those emissions.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_KO_2022_results.csv
"We do this by analyzing and prioritizing the sources of GHG emissions across our value chain and by partnering with stakeholders to drive down emissions.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific,NYSE_KO_2022_results.csv
"In 2021, active sites operated by TotalEnergies affiliates generated 500 kt of waste, of which 61% was recovered.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_TTE_2022_results.csv
"In 2022, our employees volunteered for those most in need within our diverse communities, such as helping those experiencing food insecurity during the holidays by hosting our annual food drive supporting local food banks across the U.S., Canada and India.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NASDAQ_BKNG_2022_results.csv
"Impacts on the environment and local communities of Nike’s buildings and workplace practices.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"We have achieved 100% DMFa free coated natural leathers, and we have seen strong adoption of DMFa free synthetic suedes.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific,NYSE_NKE_2022_results.csv
"These standards include what we call our foundation policies, and define our goals for the Corporation’s ethical conduct.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_XOM_2022_results.csv
"We believe that a sustainable future is tied to supporting our people.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_MCD_2022_results.csv
"Our purpose is to move the world forward through the power of sport.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"Representation Dashboard, 2021 EEO 1 report, and our Pay Ratio Disclosure are available online.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"Additionally, the soaring emissions intensity of the electricity grid in manufacturing regions (particularly Vietnam) against the baseline has contributed to growth in our emissions footprint.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"Since 2002, ExxonMobil has been a member of the Voluntary Principles Initiative, a multi stakeholder effort supporting the implementation of the Voluntary Principles on Security and Human Rights.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_XOM_2022_results.csv
"Polyester, found in nearly every pair of NIKE footwear, is a core material due to its performance and durability.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"Learning Up to five days of training for all employees on the Company’s new ambition, the energy transition, climate change and electricity.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"Based on our six ESG priority areas, we have identified, set and communicated public ESG goals so that our stakeholders understand how we are measuring success.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_PFE_2022_results.csv
"Disney Cruise Line has been working to eliminate single use plastic categories and intends to be free of single use plastics by 2025.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv
"Uber worked with over 280 partners who were on the front lines of vaccinating our communities in 44 countries to provide these rides .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"TotalEnergies Is Committed to Supporting Young People Around the world, youth unemployment and job insecurity have worrying human and economic consequences.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"Specifically, it addresses health inequities by facilitating rides to vaccination sites and other places where people from underserved parts of the country can learn about the vaccine from trusted contacts .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
