text,gpt_responses,scope3,vague
"Agoda has teamed up with the Global Sustainable Tourism Council (GSTC), which establishes and manages global standards for sustainable travel and tourism, in order to provide sustainability training for hotel professionals in Singapore and Taiwan.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The long term goal is to support hotels in receiving sustainability certification from the certification bodies accredited by GSTC and inclusion into the Travel Sustainable program.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Agoda and GSTC sponsored 80 hotel professionals to participate in Sustainable Hotels courses, which provide them with the knowledge and skills to improve their sustainability practices.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The course provides in depth content from GSTC and examples of best practices from various destinations, tour operators and accommodation providers.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Upon completion, participants receive a GSTC certificate of training completion, and they also have the option to take an exam for a GSTC Professional Certificate in Sustainable Tourism.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The training and certification also help hotels meet the Staff Engagement Criteria in the GSTC Industry Criteria, which requires staff to hold relevant certificates and qualifications.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"As one of the few metasearch sites featuring carsharing options, KAYAK is helping travelers find sustainable vehicles while supporting local entrepreneurs.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Through our partnership with Getaround, the peer to peer carsharing platform, travelers searching for cars or SUVs on KAYAK are able to conveniently search carsharing services and book vehicles in as little as an hour through Getaround.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"By leading the shift away from the traditional concept of car ownership, traffic and pollution are lessened, and greenhouse gases are reduced.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"This integration with KAYAK accelerates these positive changes for travelers and local communities alike.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Booking.com has formed a partnership with CHOOOSE, a climate tech company, to display carbon emissions data for European accommodation bookings and flight searches.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The goal is to assist customers in making informed decisions in the booking process.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The new features will initially be available for European accommodations and then expanded globally.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"In 2022, we launched our inaugural Climate Action Plan, where we detailed our key commitments to make our own operations and services, and the travel industry, more sustainable as part of our sustainability strategy.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Furthermore, we took an important step by signing the Glasgow Declaration, a global commitment to transform the tourism industry and achieve net zero as soon as possible.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"The targets aim to help us achieve net zero and transition to a lower carbon footprint across all of our brands.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Awareness and education building initiatives released at Booking.com in 2022, including external speakers series and department specific training virtual learning to be released across all brands by end of 2023.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Reductions on track with the purchase of in market renewable energy attribute certificates at Booking Holdings and with new office campuses at Booking.com in Amsterdam and Manchester.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Other brands are getting started on office sustainability as well.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Booking.com kicked off key projects to address two of the largest emissions sources: tech and procurement.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"Data Center sustainability maturity assessment completed, and procurement related supplier questionnaire sent out to top suppliers.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Scope 3 emission reduction roadmap to be delivered in 2023.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"As of year end 2022, we have reduced our combined Scope 1, 2 and 3 emissions by 35%.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"In 2022, we launched the Travel Sustainable badge across Agoda, Booking.com, Priceline and KAYAK for accommodations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Flights: Flight options display carbon emissions on Booking.com KAYAK, including an active Less CO sorter on KAYAK.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Rides: Electric taxis in 50 cities and public transportation available in app on Booking.com.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Cars: Hybrid vehicles available in 57 countries and EVs in 20 countries with relevant filters and labels on Booking.com.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Peer to peer carsharing services offered on KAYAK through partnership with Getaround.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We have set a target that over 50% of our 2027 bookings will be made on more sustainable options.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This target applies to four verticals: accommodations, flights, car rentals and rides.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Agoda is working with the Global Sustainable Tourism Council (GSTC) to train partners on sustainability practices.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"To read more about the partnership, please see page 25.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Publish a follow up study to further investigate the funding gap for small and medium sized enterprises (SME) accommodations by the end of 2023.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Release consumer sustainable travel research and make these findings more accessible to the public through our partnership with Statista.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Taking Care of Our People Our employees drive our success and are fundamental to delivering on our mission to make it easier for everyone to experience the world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We strive to create an empowering and inclusive work environment through our continued focus on employee engagement, well being, diversity, inclusion and belonging (DI B), and talent management, and by rewarding and recognizing that talent.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We gather employee feedback through various channels, including employee engagement and pulse surveys conducted by each brand, and we take actionable steps to improve those scores each year based on the results.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In 2022, the company experienced a year of rebuilding and optimism about the return of travel, despite some uncertainty about the economy.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Employees demonstrated tremendous resiliency, and the circumstances only highlighted their passion and talent.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"As offices gradually reopened in the second half of the year, the company adopted a more flexible approach to work arrangements, including hybrid work from the office and home, and is considering a long term, fully remote setup and a work from abroad policy.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"The company remains focused on employee well being and engagement programs, which are critical components of its overall engagement model as it continues to evolve regarding work and office space.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Our commitment to diversity, inclusion and belonging (DI B) means honoring all experiences, valuing all voices and leading with empathy.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We believe that a diverse workforce operating in an inclusive environment is paramount to leveraging our human capital to achieve our long term strategic goals.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We strive for our leadership and workforce to reflect the broad spectrum of customers and partners we work with and are committed to creating workplaces that embrace and celebrate the different cultures and practices of our employees.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Booking Holdings actively supports DI B to reduce inequities, increase inclusion and foster a sense of belonging for everyone.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We aspire to reflect the diverse populations of our customers and the communities where our people live and work.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The executive level DI B Steering Committee, which includes diversity and inclusion experts, and business and functional leaders, oversees efforts by brands and their management teams to cultivate a diverse and inclusive environment.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"At our organization, we prioritize creating a respectful, safe and secure workplace.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"To fulfill this responsibility, we offer mandatory anti harassment training and have a Compliance Helpline in place for employees to report any instances of harassment or discrimination.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We also partner with external organizations, such as Catalyst, Workplace Pride, Everywoman and Headspace, to further advance diversity, inclusion and belonging initiatives, and provide training and resources.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We are committed to pay equity, regardless of gender, race or ethnicity.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We conduct pay equity studies every other year with the help of an independent compensation consultant, and in the alternate years we work on remediation plans to address any outliers.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2023, Booking Holdings will be implementing a formalized Vendor Diversity Program aimed at institutionalizing a process to actively include diverse vendors into sourcing and procurement opportunities, where possible.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We believe that a Vendor Diversity Program is a natural extension of our overall ESG efforts, specifically focusing on mirroring our internal commitment to DI B, by extending this to our vendors and ultimately to our customers, partners and communities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We have engaged a third party partner who exclusively focuses on vendor diversity to help Booking Holdings develop a program and analyze our existing vendor base to assess diversity status and capabilities.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We will actively track expenditures with diverse vendors with the goal of expanding opportunities with both existing and new diverse providers.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We will develop internal performance dashboards monitoring our progress for inclusion throughout 2023 and beyond.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Roll out training and awareness across Booking Holdings end users.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Establish goals and metrics, both quantitative and qualitative.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Create an inclusion funnel to track, identify and manage procurement opportunities that can incorporate diverse vendors in the evaluation process.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We are continuing on our journey toward a more inclusive workplace through education and collaboration.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"In 2022, we made Foundations of Inclusive Leadership training a mandatory program for all executive leaders across the enterprise.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Our Global Management Board, which is composed of the most senior leaders in the organization, went through the program in person to ensure an impactful experience and to set the tone from the top.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The other executive leaders all undertook a two part, six hour training in cohorts to equip them to start driving changes at the personal, team and organizational levels.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The plan is to continue to scale the program and have all the senior leaders complete the program in 2023.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We have taken steps to increase diversity, inclusion and belonging within our company.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We continuously evolve our understanding of how we best serve colleagues, especially those who need additional resources or allyship.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"By engaging with underrepresented groups, we were able to develop more targeted programming to increase experience of inclusion and belonging.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We aspire to maintain balanced gender representation in all business units and brands, and approximately 47% of our employees are women.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We measure recruitment, retention and growth of our workforce through metrics where possible, given that certain jurisdictions may present challenges to tracking employee racial or ethnic demographics for legal or privacy reasons.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We continued our Women in Leadership program, which empowers emerging leaders to hone their skills and expand their networks within our organization.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Since the launch, six cohorts and 228 participants have gone through the program.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Inclusion and belonging means creating an environment where every voice can be heard and everyone has an opportunity to make a positive impact on our company and culture.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our Employee Resource Groups (ERGs) are an important way to empower our people, and each of the Booking Holdings brands maintains and expands its own ERGs to support its employees’ specific needs.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022 Booking Holdings launched a global DI B Community of Practice, which is comprised of all dedicated DI B resources across all brands.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"This forum enables all our brands to share best practices and consolidate resources to accelerate progress to better serve our employees.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Currently this group is meeting on a regular basis to discuss and brainstorm key topics in various parts of the enterprise to foster a more unified and integrated approach to DI B.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"This community has already identified areas of opportunity for collaboration, including joint brand attendance at DI B conferences and other ERG learning and partnerships.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, KAYAK and OpenTable launched the newly created Leadership Principles, which include diversity and inclusion as core elements of the program.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"To further expand on diversity training, we also launched LinkedIn Learning for all employees with digital diversity and inclusion content, which resulted in 1,000 completions of diversity and inclusion related eLearning in Discovery.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022 Priceline launched our first Diversity Leadership Team (DLT). The DLT is a consortium of 14 leaders from across the organization focused on enhancing DI B at Priceline through work in our four DI B strategy quadrants: Workforce (representation) Workplace (inclusion, belonging, retention) Marketplace (servicing and meeting the needs of a diverse customer base) and Community (volunteerism and charitable giving aligned with our DI B commitment).
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our DLT supported us in designing and launching our Volunteering Committees, securing our inaugural class of entry level hires in Mumbai, of which 50% were gender diverse, ensuring all new hires are assigned unconscious bias training within the first quarter of their joining the organization, and much more.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"With a strong emphasis on building pipelines of diverse talent, 98% of our hiring slates and 55% of our Q4 hires represented diverse candidates.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Agoda introduced a new program called The D I Moment in 2022 to assist managers in fostering a safe and inclusive work environment for all employees.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The program provides managers with a toolkit to lead sessions on important topics related to diversity, inclusion and belonging.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The sessions are designed to be interactive and engaging, focusing on learning and awareness.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The program is conducted in a respectful and safe manner, ensuring that all employees feel comfortable and included.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Booking.com started the year with five Employee Resource Groups (ERGs): B.able, B.bold, B.equal, B.harmony and B.proud.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"During the year we launched two regional chapters: B.equal Americas and B.proud UK.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Next to that, the formation of the LatinX ERG B.gente started, including a soft launch to generate interest and a full launch planned in 2023.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"To support the further development of the chairs of each of the ERGs, we hosted a two day summit, focusing on skill development, synergy between ERGs, planning and leadership engagement.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We publicly disclose EEO 1 data covering the U.S. market, which represents approximately 15% of our global workforce, but it is one of the few countries where we can legally collect this data due to global privacy laws.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"As part of our ongoing inclusivity efforts, we continue to explore options that might allow the collection of data voluntarily on a global scale.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"At Booking Holdings, the health, safety and well being of our employees is our top priority.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"To support this, we have taken a comprehensive and inclusive approach to employee well being, recognizing that it means different things to different people.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"In 2022, we offered an employer paid Headspace subscription to create healthier environments for our employees both in and outside of the office, and the response from our colleagues was overwhelmingly positive.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In recognition of this, we have expanded the benefit to include family and friends.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"On Global Mental Health Day in October, our brands organized events and activities focused on mental health and well being, and Agoda provided manager mental health training sessions to equip managers with the skills to recognize and address mental health concerns.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Booking.com also launched the B.Well Ambassadors community, providing training for colleagues globally on mental health in the workplace to better support the well being of everyone at Booking.com.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"At KAYAK and OpenTable, we recognize the importance of mental well being and understand the need to offer our employees affordable and quality mental health care.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Through our partnership with SpringHealth, we continued to provide two well being offerings to make sure our employees are provided with necessary care and diverse mental support benefits.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Additionally, in an effort to reduce employee burnout and increase mental well being across the company, we provided company wide time off to reset and return to the workplace with renewed energy and focus.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"At Priceline, we understand the value of our people and offer our employees a number of benefits to support their well being.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"To help reduce employee burnout and support our employees' mental wellness, Priceline offers additional paid time off to all its employees in the form of a company wide Priceline Pause.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, Priceline gave employees additional paid time off through this program for well deserved time off to collectively relax and recharge.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Priceline also offered its employees free access to Headspace, as well as enhancements to its Global Leave policy.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In an effort to promote the overall well being of its employees, Agoda launched several initiatives, including the Wellbeing Wednesday program, which featured monthly events across its global offices, focusing on four key pillars: physical, nutritional, financial and emotional well being.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"These events included healthy juice day, financial well being workshops, Muay Thai classes and meditation sessions, and were attended by over 2,000 employees.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Additionally, Agoda offered the Global Days Off program, which allows employees to take two days off to recharge, and the Agoda Choice program, which offers employees a wellness allowance to use for fitness and health services.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Booking Holdings is dedicated to fostering a culture of lifelong learning and skill development among its employees.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"To support employee development, the company offers both live and asynchronous learning opportunities through various programs and resources.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"These include access to third party learning platforms such as Coursera, LinkedIn Learning, Udemy and Skift, as well as language skills development programs.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, Agoda introduced a new learning management system to provide easy access to a wide variety of learning opportunities and resources.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Agoda also launched its first Global Learning event, aGROWda, to drive engagement and inspire employees to explore growth and development opportunities.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Meanwhile, Priceline launched Priceline Pathways, a learning management system that provides employees access to over 50,000 courses, ebooks, audiobooks and training.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The brand also launched a competency based speaker series and a learning benefit that allows employees to access 1,500 for continuous learning purposes.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Booking.com launched the Build Your Skills tool kit as a result of its annual learning and development (L D) survey.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The company strives to improve dialogue and communication around development and offers frequent opportunities for feedback and performance reviews.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Agoda continued its GROW Boost program, which provides online resources to employees within their first 18 months of tenure, and expanded it to include monthly virtual employee meetups.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Additionally, OpenTable and KAYAK introduced the Managing Essentials program, offering development and learning opportunities to newly promoted managers.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Booking Holdings prioritizes giving back to communities through supporting local initiatives with time, knowledge and funding.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"All employees are given paid time off to volunteer for causes that are meaningful to them, helping build stronger relationships with communities, engage employees and inspire travelers to make a positive impact.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The company takes a think globally, act locally approach to community engagement and leverages the strengths of its individual brands to collaborate in shared communities.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Community engagement is an important way for employees to find personal value beyond corporate operations and is prioritized through brand volunteer programming.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Through our volunteering and giving efforts, our brands continued to address those needs.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Employee volunteer time, despite being limited by the pandemic, still totaled more than 18,000 hours, and the company increased its range of virtual community engagement programs.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In 2023, the focus will be on community engagement around travel and tourism, inspiring employees to use their specialized skills for high impact volunteering.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"In 2022, Booking.com Cares targeted its efforts toward supporting Ukrainian refugees through a partnership with Jobs for Humanity (J4H), a nonprofit that works toward equal access to employment opportunities.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Twenty one Booking.com recruiters from Talent departments in Amsterdam, London, Barcelona and Dublin volunteered their skills, knowledge and networks to help Ukrainian refugees find work.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The recruiters received diversity and inclusion training and were paired with two Ukrainian job seekers in their same field of work, with one based in Ukraine and the other in the volunteer's city.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Over several weeks, volunteers and job seekers went through a structured process aimed at enhancing job opportunities, including improving resumes, expanding networks and coaching through the interview process.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2023, we are looking to expand this partnership to open up coaching opportunities with Booking.com colleagues to job seekers, including ethnic minorities, single parents, the LGBTQ community, the neurodivergent, the visually impaired, refugees and others.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Volunteerism is a core part of our culture, and through our PricelineLift volunteer program employees are given a fantastic way to give back to the communities they serve.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, our employees volunteered for those most in need within our diverse communities, such as helping those experiencing food insecurity during the holidays by hosting our annual food drive supporting local food banks across the U.S., Canada and India.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Through these activities we are building a stronger Priceline culture by encouraging colleagues to do good together.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Furthermore, we offer all regular full time employees up to three business days per 12 month calendar year to volunteer with nonprofit organizations in their local community.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Agoda promotes an inclusive and open choice volunteering and giving program that allows its employees to support causes that align with their personal values and interests.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, Agoda employees, participating in several volunteer programs, contributed more than 10,000 hours of volunteer service across 17 countries.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Agoda also recognizes the importance and impact of community based tourism, and launched a support program in 2022 to upskill and build capacity of small to mid sized enterprises in local tourism communities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This program offered opportunities for employees to volunteer their unique skills and expertise and help support the grass roots tourism industry through a partnership with the Tourism Authority of Thailand (TAT) and Hivesters, a travel social enterprise with a mission to preserve and rejuvenate Thai culture by empowering local leaders.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Agoda was also recognized by the American Chamber of Commerce in Thailand for its community based tourism support program, receiving the CSR Excellence Recognition award in 2022.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Do Good, OpenTable and KAYAK’s corporate social responsibility program, encourages employees to do good by using the brands' global scale and range to better the world around them.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The program elected executive sponsors to champion the initiative and serve as vocal leaders of the program.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The year 2022 was our fourth consecutive year of doing good, and we hosted two separate Do Good Weeks, which included over 750 volunteer hours.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The volunteer events included street and park cleanups, shelter dog walking, fence building and food bank packaging.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We are committed to stand in solidarity with those who are severely impacted by natural disasters and humanitarian crises globally, and to provide them with the necessary support and resources.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2022, employees across all our brands and the company responded to a number of natural disasters and humanitarian crises.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Booking Holdings made corporate donations to the United Nations High Commissioner for Refugees (UNHCR) in support of their relief efforts to both the humanitarian crisis in Ukraine as well as the devastating floodings in Pakistan.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In addition to these corporate donations, employees engaged in fundraising campaigns via our giving platform, Benevity, and in some cases, these were matched by the company.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, Booking Holdings donated more than 1.5 million to organizations delivering relief to those in need across the globe impacted by natural disasters.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"With the unprecedented number of displaced individuals in need of shelter, we responded alongside our partners and the UNHCR to help find and access safe accommodation for those in need.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Accommodations in 25 countries made rooms available for free or heavily discounted in order to house those in need of temporary shelter ultimately we helped over 70,000 Ukrainian refugees find housing in the wake of war.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Booking Holdings also made a corporate donation of 1,000,000 to support the UNHCR’s on the ground relief efforts.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In addition, employees donated an additional 340,000, which was matched by the company.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Following the initial aid, we continued to explore opportunities to support those affected by the war.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Page 39 outlines how we helped Ukrainian refugees find employment during the war through our global volunteering program Booking.com Cares.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We also provided specific support to colleagues impacted directly by the conflict in Ukraine.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The safety and well being of our colleagues is paramount to our organization's success.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Therefore, we took immediate action and, where possible, evacuated employees, their families and pets to safer locations, both within Ukraine and abroad, and provided on site support at arrival locations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We conducted daily check ins with colleagues remaining in Ukraine to ensure their safety and provided intelligence and travel security to support colleagues moving within the country.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Global Security and Resilience coordinated with business units to support outreach and response needs, including sanctions compliance and colleague safety.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Targeted financial support for the ongoing needs of colleagues also continues to be provided.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Ethical principles ingrained in our decision making, compliance functions, and corporate governance practices and policies help us find the right solutions the right way for each other, our communities and the world around us.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are committed to operating with integrity, honesty and accountability, and in compliance with applicable regulations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"At Booking Holdings, we continuously review our compliance controls across business functions, particularly regarding human rights and the data privacy of our customers, to consider how we can improve our processes and to ensure that we are evaluating and addressing concerns as they arise.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We closely follow developments in the regulatory environment, engage with experts for guidance and aim to be a good corporate steward and, through this commitment, we deliver value to all our stakeholders.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We strive to conduct business in ways that protect and grow long term stockholder value and are in accordance with our Corporate Bylaws and Corporate Governance Principles, which govern our Board, its committees and members, and management.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We are also guided by our Code of Conduct, which applies to the members of our Board, our leadership team and all of our employees.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The Board is elected by, and accountable to, our stockholders and is responsible for our strategic direction and oversight of management.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Of the 12 members on the Board, 11 are independent, including both an independent Chair and a lead Independent Director.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"There are three Board committees Audit, Compensation and Corporate Governance composed entirely of independent directors.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, we strengthened our Board of Directors by adding two independent directors that contribute to the diverse mix of backgrounds, experiences and skills that we rely upon to guide our company.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The leadership team at Booking Holdings is composed of our Chief Executive Officer, Chief Financial Officer, General Counsel and Chief Human Resources Officer.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Along with other members of management, the leadership team regularly reports to the Board on matters that impact every aspect of our business, including ESG matters.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
