text,vague,predicted_vague,Manual Annotation
"Global: We have engaged with hundreds of advocacy organizations worldwide, including women’s safety groups, road safety organizations, and crime prevention organizations to ensure that we incorporate their perspectives and follow best practices .
",generic,notESG,
"The Company proposes integrated financial solutions.
",ambiguous,notESG,
"Our approach to local supplier development and utilization includes purchasing goods and services from local suppliers and building their capabilities to help create a competitive local industrial base.
",notESG,generic,
"We have worked with material and chemical suppliers to trial DMFa alternatives, and are impressed by the amount of innovation in this space.
",specific,ambiguous,
"As such, we are committed to the delivery of NDPE (no deforestation, no expansion on peat and no exploitation) in palm oil production.
",generic,specific,
"We awarded 1,900 work study contracts in 2021, and have employed more than 8,000 work study students since 2016.
",specific,notESG,
"Disney also collaborates with community organizations to create opportunity around the world through charitable giving and strategic endeavors.
",generic,notESG,
"Environmental performance is an important consideration in our commercial decisions.
",ambiguous,generic,
"As concerns about systemic racism and youth mental health escalated in the past few years, the life skills curriculum was expanded to include modules on cultural diversity and self advocacy self care.
",specific,notESG,
"We recognize the connection between our social license to operate and functional, resilient water infrastructure.
",generic,ambiguous,
"By 2050, under a high emissions scenario, eight of the 40 manufacturing and research and development sites assessed during the scenario analysis are shown to be at a high risk of extreme heat.
",ambiguous,specific,
"This report has been prepared in accordance with the Global Reporting Initiative (GRI) Standards.
",notESG,specific,
"We maintain a global Supplier Code of Conduct in the spirit of the United Nations Guiding Principles on Business and Human Rights, the United Nations Universal Declaration of Human Rights, and the International Labour Organization Declaration on Fundamental Principles and Rights at Work that sets forth the expectation for suppliers working on our behalf to comply with all laws and to act ethically and with integrity at all times .
",generic,specific,
"The following index maps our disclosures to certain SASB indicators.
",generic,specific,
"Unless otherwise stated, in this report finished beverages is based on global sales volume.
",specific,ambiguous,
"We also undertake process enhancements within our product manufacturing to increase efficiency and reduce the number of process steps and resources required.
",specific,generic,
"This initiative launched by the World Economic Forum and now hosted by the World Resources Institute aims to speed the transition to a more circular economy.
",notESG,generic,
"To ensure audits are robust, we host calibration sessions with our approved third party auditing firms.
",specific,notESG,
"European Commission, Sustainable use of nutrients, https: agriculture.ec.europa.eu sustainability environmental sustainability low input farming nutrients_en : :text As%20part%20of%20the%20 Farm%20to%20Fork%20strategy,reduction%20in%20fertiliser%20use%20of%20at%20least%2020%25 (2023).
",notESG,ambiguous,
"This product, which would have otherwise been recycled or destroyed, benefits the community by serving the highest need, closest to source.
",notESG,specific,
"Giants or Peque os Gigantes campaign in Latin America to encourage consumers to buy from their local store or market.
",generic,notESG,
"This program started as a collaboration between the Fair Labor Association (FLA) and the Institution of Occupational Safety and Health (IOSH).
",ambiguous,notESG,
"Coca Cola Beverages Africa recently expanded its approach to promoting economic inclusion across its value chain to include under served women, youth and persons with disabilities.
",specific,generic,
"Identified climate risks and opportunities are assessed and ranked, based on the expected impact and likelihood.
",specific,ambiguous,
"To integrate sustainability into our practices, ExxonMobil leverages existing stewardship and purchasing processes and systems.
",ambiguous,generic,
"For more about our approach to risk management and priority issues, see Priority Topics.
",notESG,generic,
"Expanding the Operations Center to The Wirtgen Group’s equipment unlocks valuable insights for our roadbuilding customers.
",generic,notESG,
"The program elected executive sponsors to champion the initiative and serve as vocal leaders of the program.
",generic,notESG,
"Through our work, we have learned that NBS projects often have multiple co benefits, such as better water quality, carbon sequestration, increased climate resilience, and enhanced richness and variety of life of natural habitats (biodiversity).
",ambiguous,generic,
"The table below provides examples of the climate risks and opportunities identified over the short, medium and long term as well as our approach and mitigating actions that support our overall climate commitments and targets.
",specific,ambiguous,
"The assessment is carried out every three years and reviewed for any material changes annually.
",specific,notESG,
"As part of OIMS, ExxonMobil monitors the performance of joint ventures and assets operated by others consistent with our expectations and encourages them to consider improvements as appropriate.
",generic,ambiguous,
"Rides: Rides in electric taxis or public transportation.
",ambiguous,notESG,
"Our Supplier Code of Conduct provides our suppliers with guidance around operating ethically .
",notESG,specific,
"Our commitment to respecting human rights is de ned in our Code of Business Conduct, Supplier Code of Conduct, Dealer Code of Conduct, and John Deere’s Support of Human Rights in Our Business Practices.
",generic,specific,
"In FY22, we strengthened existing partnerships with third party experts who help suppliers address the root causes of non compliance though remediation and training programs.
",specific,ambiguous,
"The first step is to avoid any impacts wherever possible.
",specific,generic,
"These advanced biofuels will add to the range of first generation biofuels.
",generic,ambiguous,
"Examples of local market successes have equipped us with important learning that we can use to build on this progress and scale the successful efforts we saw.
",notESG,ambiguous,
"Since we set this target in FY20 and started measuring impact, we have already seen substantial improvements in the rate of supplier lost time injuries per worker.
",ambiguous,specific,
"Company employees and Company owned restaurants are in our direct sphere of control.
",ambiguous,notESG,
"Before FY22, NIKE calculated EOL impacts of NIKE product based on the number of units produced, regardless of material type, and utilized an aggregated EOL carbon impact emission factor from the EPA’s Waste Reduction Model (WARM).
",ambiguous,specific,
"Reformulated the ketchup and mustard in Brazil to contain no artificial preservatives.
",notESG,specific,
"In 2021, the Board of Directors defined TotalEnergies’ ambi tion and 2030 objectives for sustainable development and the energy transition toward net zero, together with society, and presented them to our shareholders so they could voice their opinion.
",specific,ambiguous,
"A lower availability of water may heighten potential financial risk for Pfizer by increasing water costs, and or reducing revenue due to production shutdowns.
",ambiguous,specific,
"This mapping, which we aim to complete by the end of 2025, will help determine how we engage with suppliers to drive continuous improvement.
",generic,ambiguous,
"In 2022, we launched a Chicago based investment strategy supporting local communities, including a 3.5 million investment with 40 local nonprofit organizations.
",notESG,specific,
"In the near term, NIKE intends to focus on cotton and polyester supply chains to reduce our dependence on higher impact versions of important fabrics.
",specific,ambiguous,
"We also educate medical organizations about the latest research on our medicines and vaccines, our pipelines, and ways to access our products.
",ambiguous,notESG,
"In addition, Shinkai stated, When we talk about conservation, we’re already thinking in the medium to long term.
",generic,ambiguous,
"Plastics play a vital role in reducing greenhouse gas emissions and enabling modern life.
",generic,notESG,
"As used in this report, the terms material, materiality, immaterial, substantive, significant and other similar terminology are not used, or intended to be construed, as they have been defined by or construed in accordance with the securities laws or any other laws of the United States or any other jurisdiction or as they are used in the context of financial statements and financial reporting.
",ambiguous,notESG,
"Direct Response Omission Statement: The organization considers the data confidential and thus cites confidentiality constraints’ as our reason for omission.
",generic,notESG,
"Acquired a 20% interest in Hysetco, operator of an H2 taxi fleet in Paris.
",specific,notESG,
"In addition, each of our brands has its own management team that includes a Chief Executive Officer, Chief Financial Officer and General Counsel, and we leverage knowledge and experience across our brands through ongoing collaboration, regular calls, quarterly business reviews and updates to the Board.
",generic,notESG,
"Freedom of association and effective recognition of the right to collective bargaining.
",generic,notESG,
"Additionally, we collaborate with industry peers at regional and local levels to scale collective action in responsible marketing pledge programs.
",notESG,ambiguous,
"The Compensation Committee has responsibility for the executive compensation program, which includes approving the compensation of our executive officers, overseeing executive diversity, pay equity, inclusion, recruiting, retention, career development and succession planning (in collaboration with the Governance Sustainability Committee).
",generic,notESG,
"Water consumed throughout NIKE’s value chain monitoring and or mitigating our impacts in water scarce regions.
",generic,ambiguous,
"Hiring locally helps us meet our staffing needs and advances local economic development and education.
",generic,notESG,
"To achieve this, we work closely with our suppliers, through standards like the Supplier Quality Management System (SQMS) and our Distributor Quality Management Process.
",specific,ambiguous,
"Engaging with our value chain and policies as a crtitical tool for achieving outcomes.
",ambiguous,generic,
"Our parks, hotels, and cruise businesses are integrating recycled content fiber into their cast and crew member costumes.
",generic,specific,
"Excludes emissions from consumers traveling to stores.
",specific,ambiguous,
"We manage the risks associated with critical materials as well.
",notESG,ambiguous,
"This usage and strategy places NIKE among the top users of organic cotton globally.
",generic,specific,
"We are committed to providing transparent nutrition information about all of our products, in line with local regulations, so consumers can make informed decisions.
",notESG,specific,
"At the end of FY22, 97% of facilities have used at least one industry tool and the remaining facilities are currently scheduled to transition in FY23 based on industry tool availability.
",specific,ambiguous,
"Government policies to promote carbon neutrality are boosting demand for these renewable products, especially in Europe.
",notESG,ambiguous,
"NIKE has a holistic strategy for achieving this target that focuses on the major drivers of waste.
",generic,ambiguous,
"McDonald’s may display the MSC and used directly as an ingredient in a McDonald’s product and listed on the continue making supply chain improvements to meet our packaging sourcing certification logo in some of its markets, where fisheries and restaurants are product’s ingredient statement.
",notESG,ambiguous,
"Pfizer novel drug approval counts include co developed or acquired assets which may not be listed as distinctly Pfizer assets among FDA data.
",ambiguous,notESG,
"As we implement our global broiler welfare standards, we will establish third party verification to enable continuous improvement.
",notESG,ambiguous,
"All of our sites routinely conduct drills to review and test their pollution control plans.
",notESG,specific,
"Description of actions and initiatives to promote access of the management process to healthcare products.
",ambiguous,notESG,
"We’re helping feed and support people when and where they need it most.
",generic,notESG,
"We survey and map housing structures, gardens, wildlife, sources for nature based products, harvesting areas and other assets to support the development of RAPs and effective livelihood restoration programs.
",ambiguous,specific,
"We collaborate on topics such as technical projects, potential sustainability impacts, community concerns and public policy development.
",ambiguous,generic,
"Agriculture in Egypt faces many challenges, including water scarcity, water pollution, desertification and land degradation.
",generic,notESG,
"For the year, the company gained value share in total nonalcoholic ready to drink beverages, led by share gains in France, Spain and Poland.
",specific,notESG,
"Launched phase 4 of the Mero low cost, low carbon oil.
",generic,ambiguous,
"Developing CO2 storage services Under the scenarios prepared by the IEA, the volume of CO2 captured and stored using CCS processes could total 5 to 7 billion tons annually by 2050, compared to just 40 Mt today.
",specific,ambiguous,
"In FY23, our NIKE internal teams will go through the framework.
",notESG,ambiguous,
"Our support has resulted in the distribution of more than 15.1 million bed nets, 5.6 million doses of antimalarial treatments and 4 million rapid diagnostic kits, as well as training for nearly 900,000 health workers.
",notESG,specific,
"TCFD is a risk reporting framework for businesses to use when disclosing the impact of climate change and climate transitions on their operations .
",notESG,specific,
"Our benefits offering provides market specific choice, gives access to robust mental health and family building programs, and encourages overall employee well being, all with the employee experience at the core .
",generic,notESG,
"These projects include support for nature based solutions such as reforestation, wetland and meadow restoration, as well as irrigation system improvements, invasive species removal and check dam construction.
",generic,specific,
"We continue to make the health and welfare of animals a priority throughout our supply chain.
",notESG,generic,
"Please see our Product Safety Policy to more fully understand our approach to health, safety and environmental management of our products.
",ambiguous,generic,
"The committee is regularly updated by management on Pfizer’s climate action program and progress toward goals.
",generic,ambiguous,
"Please refer to our Nature, Forests Water web page for additional definitions.
",ambiguous,notESG,
"Smart solution adoption targets to deliver more precision and unlock more productivity and pro tability on the jobsite for earthmoving, roadbuilding, and forestry customers.
",ambiguous,notESG,
"In 2022, we launched a Chicago Community Impact Grants Program in partnership with The Chicago Community Trust, investing 3.5 million in grants to 40 neighborhood organizations that are advancing youth opportunity.
",specific,notESG,
"We are diligent about tracking our demographic data and holding ourselves accountable for improving representation of women globally and underrepresented people (URP) in the US year over year .36 That said, incremental gains are not always linear, but in conjunction with our Board of Directors we continue to monitor the indicators and associated progress .
",ambiguous,specific,
"Texas, generated a 75% return rate, and we are exploring expansion capabilities in 2023.
",ambiguous,notESG,
"For example, Pixar is subscribed to 100% renewable electricity through East Bay Community Energy.
",notESG,specific,
"The plan addresses infrastructure and ecosystems, community well being, information management, policy and regulations, finance and planning.
",ambiguous,generic,
"Air CO2 emissions are estimated based on number and distance of trips.
",specific,ambiguous,
"As of FY22, we’ve aligned with the latest version of updated Sustainable Apparel Coalition’s Higg MSI (Higg MSI) lifecycle emission factors.
",ambiguous,specific,
"This analysis included use of benchmarking studies to identify good practices, including incorporation of a comprehensive metering infrastructure facilitating early investigation and action of energy demand changes.
",specific,ambiguous,
"GRI provides a globally recognized framework for companies to measure and communicate their environmental, economic, social and governance performance.
",notESG,generic,
"Joining alliances to decarbonize the shipping industry June 2020: TotalEnergies joins the Getting.
",generic,ambiguous,
"We estimate that, of the 100 GW of renewable electricity we will install by 2030, some 33 GW will be located in emerging or developing countries, providing sustainable energy to around 40 million people, some of whom will never have had decent access to energy.
",specific,ambiguous,
"The unique Product Identifiers developed for serialization will enable the tracking and tracing of product movement through the supply chain, from the manufacturing site to patient dispensation (including Government Systems and Trading Partners) and allows authorized trading partners today to verify the authenticity of our medicines with a simple scan.
",notESG,specific,
"It includes a 75% reduction in methane emissions from the coal, oil and gas industries between 2020 and 2030.
",ambiguous,specific,
"Company employees, who include those in our corporate offices as well as in Company owned and operated restaurants, totaled over 150,000 worldwide as of year end 2022, of which approximately 70% were based outside of the U.S.
",specific,notESG,
"The European soft drinks sector is the only sector to have made an additional sugar reduction commitment under the EU Code of Conduct.
",specific,notESG,
"Throughout each product’s lifecycle, we continuously monitor and evaluate all relevant safety and quality information, including complaints and adverse events.
",ambiguous,notESG,
"We work to avoid or reduce any human rights or socioeconomic risk through comprehensive planning, effective mitigation, monitoring and other measures.
",generic,ambiguous,
"In emerging markets, we advocate for government and civil society to create or lags that of some other materials.
",notESG,ambiguous,
"The Coca Cola Foundation envisions inclusive economies around the world with expanded opportunities for shared prosperity, especially for the communities that face the greatest barriers to advancing their well being.
",notESG,generic,
"NIKE’s products are finished consumer goods and do not undergo any additional processing once sold.
",notESG,specific,
"All volumes of of chicken sourced in North America where soy used in chicken feed is locally contingency items sourced from suppliers compliant with our standards but produced and considered low risk.
",specific,ambiguous,
"For a full description of our goals, read our 2030 Environmental Goals White Paper.
",notESG,generic,
"One Tech : bringing our multi energy technical skills together in one place  In September 2021, 3,400 engineers, scientists and technicians were brought together in a new segment to enhance the Company’s innovation capacity and ability to design and lead large integrated industrial projects by leveraging the teams’ operational excellence.
",specific,notESG,
"In 2021, we held approximately 145 of these sessions with shareholders owning nearly 1.7 billion shares.
",specific,notESG,
"Disney VoluntEARS in the EMEA region packed supplies, prepared food, and created temporary Disney themed playrooms.
",ambiguous,notESG,
"We are planning to scale this program to all of North America in FY23 and allow the framework to inform in store stretch experiences across other geographies.
",notESG,ambiguous,
"We continue to actively engage with evolving international initiatives.
",ambiguous,generic,
"Purchases arranged by our global procurement organization include contract language that requires adherence to all applicable laws and regulations.
",specific,notESG,
"In this way, each new invest ment enhances the resilience of the Company's portfolio.
",notESG,generic,
"The Company will be part of that change, and aims to sell 7 to 8 Mt in 2025.
",specific,ambiguous,
"We expect the same commitment to acting ethically and with integrity from suppliers, as well as from consultants, agents, representatives, and other companies and individuals acting on our behalf, as well as those acting on their behalf (e.g., subcontractors), in connection with work for Pfizer.
",generic,notESG,
"The Company is also a member of the Taskforce on Nature related Financial Disclosures (TNFD) Forum created in 2021, which will define a framework for reporting and measuring corporate biodiversity impacts.
",notESG,ambiguous,
"This is the most extreme climate scenario where emissions are expected to rise and in 2100 a temperature increase is projected of4 C.
",notESG,ambiguous,
"Coalition is supporting the treaty negotiations around the vision of a circular economy in which plastic never becomes waste or pollution, and the value of products and materials is retained in the economy.
",notESG,generic,
"Adapting to these changes while maintaining comparability in our data is critical to instilling integrity and confidence in the validity of the insights the data provides.
",generic,ambiguous,
"NIKE focused on updating life safety programs in FY22 with a focus on occupational health, emergency medical response programs and injury prevention.
",notESG,specific,
"These emissions are associated with washing and drying NIKE’s sold apparel and starting with FY22 data, socks.
",ambiguous,specific,
"We exercise due diligence on an ongoing basis to identify, prevent, mitigate, and account for human rights risks and impacts, and we update our assessment of salient human rights risks as new information becomes available.
",ambiguous,specific,
"Leader status over time. social and economic performance to our agricultural suppliers at the farm level.
",generic,ambiguous,
